reservation_date,market_name,ABW,MEDIA_DESC,resv,canx_resv,30_day_res,30_day_canx,7_day_res,7_day_canx
2020-02-24,Atlanta GA,0-1 Days,Search,33.0,0.0,33.0,0.0,33.0,0.0
2020-02-25,Atlanta GA,0-1 Days,Search,27.0,0.0,60.0,0.0,60.0,0.0
2020-02-26,Atlanta GA,0-1 Days,Search,31.0,0.0,91.0,0.0,91.0,0.0
2020-02-27,Atlanta GA,0-1 Days,Search,27.0,1.0,118.0,1.0,118.0,1.0
2020-02-28,Atlanta GA,0-1 Days,Search,44.0,3.0,162.0,4.0,162.0,4.0
2020-02-29,Atlanta GA,0-1 Days,Search,43.0,1.0,205.0,5.0,205.0,5.0
2020-03-01,Atlanta GA,0-1 Days,Search,30.0,3.0,235.0,8.0,235.0,8.0
2020-03-02,Atlanta GA,0-1 Days,Search,29.0,1.0,264.0,9.0,231.0,9.0
2020-03-03,Atlanta GA,0-1 Days,Search,29.0,2.0,293.0,11.0,233.0,11.0
2020-03-04,Atlanta GA,0-1 Days,Search,26.0,2.0,319.0,13.0,228.0,13.0
2020-03-05,Atlanta GA,0-1 Days,Search,19.0,0.0,338.0,13.0,220.0,12.0
2020-03-06,Atlanta GA,0-1 Days,Search,41.0,4.0,379.0,17.0,217.0,13.0
2020-03-07,Atlanta GA,0-1 Days,Search,50.0,2.0,429.0,19.0,224.0,14.0
2020-03-08,Atlanta GA,0-1 Days,Search,37.0,0.0,466.0,19.0,231.0,11.0
2020-03-09,Atlanta GA,0-1 Days,Search,33.0,1.0,499.0,20.0,235.0,11.0
2020-03-10,Atlanta GA,0-1 Days,Search,31.0,1.0,530.0,21.0,237.0,10.0
2020-03-11,Atlanta GA,0-1 Days,Search,30.0,1.0,560.0,22.0,241.0,9.0
2020-03-12,Atlanta GA,0-1 Days,Search,41.0,1.0,601.0,23.0,263.0,10.0
2020-03-13,Atlanta GA,0-1 Days,Search,44.0,2.0,645.0,25.0,266.0,8.0
2020-03-14,Atlanta GA,0-1 Days,Search,34.0,0.0,679.0,25.0,250.0,6.0
2020-03-15,Atlanta GA,0-1 Days,Search,38.0,1.0,717.0,26.0,251.0,7.0
2020-03-16,Atlanta GA,0-1 Days,Search,21.0,2.0,738.0,28.0,239.0,8.0
2020-03-17,Atlanta GA,0-1 Days,Search,4.0,0.0,742.0,28.0,212.0,7.0
2020-03-18,Atlanta GA,0-1 Days,Search,4.0,0.0,746.0,28.0,186.0,6.0
2020-03-19,Atlanta GA,0-1 Days,Search,6.0,2.0,752.0,30.0,151.0,7.0
2020-03-20,Atlanta GA,0-1 Days,Search,5.0,1.0,757.0,31.0,112.0,6.0
2020-03-21,Atlanta GA,0-1 Days,Search,1.0,0.0,758.0,31.0,79.0,6.0
2020-03-22,Atlanta GA,0-1 Days,Search,1.0,0.0,759.0,31.0,42.0,5.0
2020-03-24,Atlanta GA,0-1 Days,Search,1.0,1.0,760.0,32.0,22.0,4.0
2020-03-25,Atlanta GA,0-1 Days,Search,1.0,0.0,761.0,32.0,19.0,4.0
2020-03-26,Atlanta GA,0-1 Days,Search,1.0,0.0,729.0,32.0,16.0,4.0
2020-03-27,Atlanta GA,0-1 Days,Search,1.0,0.0,703.0,32.0,11.0,2.0
2020-03-29,Atlanta GA,0-1 Days,Search,1.0,0.0,673.0,32.0,7.0,1.0
2020-03-30,Atlanta GA,0-1 Days,Search,3.0,3.0,649.0,34.0,9.0,4.0
2020-03-31,Atlanta GA,0-1 Days,Search,1.0,0.0,606.0,31.0,9.0,4.0
2020-04-01,Atlanta GA,0-1 Days,Search,1.0,0.0,564.0,30.0,9.0,3.0
2020-04-02,Atlanta GA,0-1 Days,Search,3.0,1.0,537.0,28.0,11.0,4.0
2020-04-04,Atlanta GA,0-1 Days,Search,1.0,0.0,509.0,27.0,11.0,4.0
2020-04-05,Atlanta GA,0-1 Days,Search,1.0,0.0,481.0,25.0,11.0,4.0
2020-04-06,Atlanta GA,0-1 Days,Search,1.0,0.0,456.0,23.0,11.0,4.0
2020-04-07,Atlanta GA,0-1 Days,Search,1.0,0.0,438.0,23.0,9.0,1.0
2020-04-08,Atlanta GA,0-1 Days,Search,1.0,0.0,398.0,19.0,9.0,1.0
2020-04-09,Atlanta GA,0-1 Days,Search,1.0,0.0,349.0,17.0,9.0,1.0
2020-04-10,Atlanta GA,0-1 Days,Search,1.0,0.0,313.0,17.0,7.0,0.0
2020-04-12,Atlanta GA,0-1 Days,Search,1.0,0.0,281.0,16.0,7.0,0.0
2020-04-19,Atlanta GA,0-1 Days,Search,2.0,0.0,252.0,15.0,8.0,0.0
2020-04-28,Atlanta GA,0-1 Days,Search,2.0,0.0,224.0,14.0,9.0,0.0
2020-02-24,Atlanta GA,2-3 Days,Search,6.0,1.0,6.0,1.0,6.0,1.0
2020-02-25,Atlanta GA,2-3 Days,Search,3.0,0.0,9.0,1.0,9.0,1.0
2020-02-26,Atlanta GA,2-3 Days,Search,8.0,1.0,17.0,2.0,17.0,2.0
2020-02-27,Atlanta GA,2-3 Days,Search,9.0,0.0,26.0,2.0,26.0,2.0
